create-link-from,dictionary,dict/create-link,dictionary-create-link
create-links-from,dictionary,dict/create-link,dictionary-create-link
create-link-with,dictionary,dict/create-link,dictionary-create-link
create-links-with,dictionary,dict/create-link,dictionary-create-link
create-turtles,dictionary,dict/create-turtles,dictionary-create-turtles
crt,dictionary,dict/create-turtles,dictionary-create-turtles
create-temporary-plot-pen,dictionary,dict/create-temporary-plot-pen,dictionary-create-temporary-plot-pen
date-and-time,dictionary,dict/date-and-time,dictionary-date-and-time
die,dictionary,dict/die,dictionary-die
diffuse,dictionary,dict/diffuse,dictionary-diffuse
diffuse4,dictionary,dict/diffuse4,dictionary-diffuse4
directed-link-breed,dictionary,dict/directed-link-breed,dictionary-directed-link-breed
display,dictionary,dict/display,dictionary-display
distance,dictionary,dict/distance,dictionary-distance
distancexy,dictionary,dict/distancexy,dictionary-distancexy
downhill,dictionary,dict/downhill,dictionary-downhill
downhill4,dictionary,dict/downhill,dictionary-downhill
dx,dictionary,dict/dxy,dictionary-dxy
dy,dictionary,dict/dxy,dictionary-dxy
empty?,dictionary,dict/empty,dictionary-empty
end,dictionary,dict/end,dictionary-end
end1,dictionary,dict/end1,dictionary-end1
end2,dictionary,dict/end2,dictionary-end2
error,dictionary,dict/error,dictionary-error
error-message,dictionary,dict/error-message,dictionary-error-message
every,dictionary,dict/every,dictionary-every
exp,dictionary,dict/exp,dictionary-exp
export-view,dictionary,dict/export-cmds,dictionary-export-cmds
export-interface,dictionary,dict/export-cmds,dictionary-export-cmds
export-output,dictionary,dict/export-cmds,dictionary-export-cmds
export-plot,dictionary,dict/export-cmds,dictionary-export-cmds
export-all-plots,dictionary,dict/export-cmds,dictionary-export-cmds
export-world,dictionary,dict/export-cmds,dictionary-export-cmds
extensions,dictionary,dict/extensions,dictionary-extensions
extract-hsb,dictionary,dict/extract-hsb,dictionary-extract-hsb
extract-rgb,dictionary,dict/extract-rgb,dictionary-extract-rgb
face,dictionary,dict/face,dictionary-face
facexy,dictionary,dict/facexy,dictionary-facexy
file-at-end?,dictionary,dict/file-at-end,dictionary-file-at-end
file-close,dictionary,dict/file-close,dictionary-file-close
file-close-all,dictionary,dict/file-close-all,dictionary-file-close-all
file-delete,dictionary,dict/file-delete,dictionary-file-delete
file-exists?,dictionary,dict/file-exists,dictionary-file-exists
file-flush,dictionary,dict/file-flush,dictionary-file-flush
file-open,dictionary,dict/file-open,dictionary-file-open
file-print,dictionary,dict/file-print,dictionary-file-print
file-read,dictionary,dict/file-read,dictionary-file-read
file-read-characters,dictionary,dict/file-read-characters,dictionary-file-read-characters
file-read-line,dictionary,dict/file-read-line,dictionary-file-read-line
file-show,dictionary,dict/file-show,dictionary-file-show
file-type,dictionary,dict/file-type,dictionary-file-type
file-write,dictionary,dict/file-write,dictionary-file-write
filter,dictionary,dict/filter,dictionary-filter
first,dictionary,dict/first,dictionary-first
floor,dictionary,dict/floor,dictionary-floor
follow,dictionary,dict/follow,dictionary-follow
follow-me,dictionary,dict/follow-me,dictionary-follow-me
foreach,dictionary,dict/foreach,dictionary-foreach
forward,dictionary,dict/forward,dictionary-forward
fd,dictionary,dict/forward,dictionary-forward
fput,dictionary,dict/fput,dictionary-fput
globals,dictionary,dict/globals,dictionary-globals
hatch,dictionary,dict/hatch,dictionary-hatch
heading,dictionary,dict/heading,dictionary-heading
hidden?,dictionary,dict/hidden,dictionary-hidden
hide-link,dictionary,dict/hide-link,dictionary-hide-link
hide-turtle,dictionary,dict/hide-turtle,dictionary-hide-turtle
ht,dictionary,dict/hide-turtle,dictionary-hide-turtle
histogram,dictionary,dict/histogram,dictionary-histogram
home,dictionary,dict/home,dictionary-home
home-directory,dictionary,dict/home-directory,dictionary-home-directory
hsb,dictionary,dict/hsb,dictionary-hsb
hubnet-broadcast,dictionary,dict/hubnet-broadcast,dictionary-hubnet-broadcast
hubnet-broadcast-clear-output,dictionary,dict/hubnet-broadcast-clear-output,dictionary-hubnet-broadcast-clear-output
hubnet-broadcast-message,dictionary,dict/hubnet-broadcast-message,dictionary-hubnet-broadcast-message
hubnet-clear-override,dictionary,dict/hubnet-clear-override,dictionary-hubnet-clear-override
hubnet-clear-overrides,dictionary,dict/hubnet-clear-override,dictionary-hubnet-clear-override
hubnet-clients-list,dictionary,dict/hubnet-clients-list,dictionary-hubnet-clients-list
hubnet-enter-message?,dictionary,dict/hubnet-enter-message,dictionary-hubnet-enter-message
hubnet-exit-message?,dictionary,dict/hubnet-exit-message,dictionary-hubnet-exit-message
hubnet-fetch-message,dictionary,dict/hubnet-fetch-message,dictionary-hubnet-fetch-message
hubnet-kick-client,dictionary,dict/hubnet-kick-client,dictionary-hubnet-kick-client
